id,name,sku,defaultSupplier,category,uom,unitSize,inactivePriceRows,inactiveSuppliers
cmp3nx90a01qtckpv49b383ai,0/ Stonhard Stonprime,,,,,,0,
cmp3nx8la01qsckpvli1rnsue,0/ Stonhard Stonseal,,,,,,0,
cmmlub5mq003qsgpvwvob9us8,12HR PORCELAIN GLUE,,DIY Savoy Consumables,,KG,20,0,
cmocgya1r000l09jvhfkqfdjf,1557 Scrappers -,,DIY Savoy Consumables,,EACH,1,0,
cmmns3ypj00089cplb9uynof8,1838 Sandpaper P40,,DIY Savoy Plascon,Preparation,,,0,
cmp3nnw5b0165ckpvkp9oq8b4,2X4 GALVANISED BOXES,,,,,,0,
cmock4und005wb0pvhpvmgqhs,300X10M MEMBRANE,,DIY Savoy Consumables,,EACH,1,0,
cmp3ohzt202sqckpv14inbsxu,4.8X120mm cable ties,PACK 629240,,,,,0,
cmp3nnvq40164ckpvzsyz9jdy,4X4 GALVANISED BOXES,,,,,,0,
cmp3njf2b00v6ckpvqt369njo,50MX1M BARRIER SAFETY NET,ROLL 623737,DIY Savoy Consumables,,,,0,
cmnehbjb2000h09lgmvbms3zf,6.4X900X2.700mm Gyproc rhino board,,DIY Savoy Consumables,,EACH,1,0,
cmp3nrmh801dnckpvz4umkqu0,63736 Sandpaper 1M P80,INV115307,DIY Savoy Consumables,,,,0,
cmp3nltw4010ockpvv0p1561l,64702 Trowel Plaster Plastic Handle,,,,,,0,
cmp3okd3b0314ckpv6d6a5fw4,65091 Sandpaper 1M P80,INV117539,DIY Savoy Consumables,,,,0,
cmp3n59hh001ockpvmlbbzo0b,65341 Sandpaper 1M P80,INV118224,DIY Savoy Consumables,,,,0,
cmp3ok937030ockpv0cnbjvlh,65366 SMX35 SealandStretch,INB062251,Soudal,,,,0,
cmp3orkeb03rockpv0ui9p55n,65721 SMX35 Seal and Stretch,,Soudal,,,,0,
cmp3okdif0316ckpvvsf3rxkg,65993 Sandpaper,INV119069,DIY Savoy Consumables,,,,0,
cmp3np3z20196ckpv3gwwc4bd,66021 BISHOP STRIP,,,,,,0,
cmp3np25b0193ckpvjzatx8nl,66021 R/BOARD,,,,,,0,
cmp3nn4ej013jckpvyn74rdo7,66579 STEEL REF,,,,,,0,
cmp3orkth03rpckpv9pwf7p74,66814 SMX35 Seal and Stretch,,Soudal,,,,0,
cmp3nd28r00ibckpvhd9zdj13,67604 Propile COMPLETE,,,,,,0,
cmp3nnqnj015sckpvh9fkxhdq,67655 DISC DIAM SEG CONCR,,,,,,0,
cmp3of3my02mvckpve7xahaaf,67723 Scrappers,,,,,,0,
cmotn5ytp005g09l8gw2h26ru,80GRID SANDPAPER SHEET,,Midas Paints Cape Town (Pty) Ltd,,EACH,1,0,
cmo1cyo4g003709iea136gzd4,8309 Propile COMPLETE,,DIY Savoy Consumables,,EACH,1,0,
cmp3o1rbq01yickpvpdakffcc,9/ SILKWOOD,,,,,,0,
cmnfm1afk000109jvqwmb3m9i,ACETONE CLEANER,,DIY Savoy Consumables,,L,1,0,
cmo1czzwf003209kvgbm264x2,ACRYLIC PVA - 00YR15/510 STALLION,,The Paint Place,,L,5,0,
cmmlvmo150075sgpvaoxcidmh,ACRYLIC PVA - 00YT15/510 STALLION,,Dulux,,L,20,0,
cmn2saqwc000009ju3p6c53ai,ACRYLIC PVA - CHILTEN 40YY73/028,,Dulux,,L,20,0,
cmmlw1fyt00fmsgpvz5ktrf7s,ACRYLIC PVA - LEAD 81YR06/003,,Dulux,,L,20,0,
cmmx2gb9j000409ifyolvgwee,ACRYLIC PVA - LILY POLLEN 76YR27/556,,Dulux,,L,20,0,
cmo1cyp7l003e09ieyl5nhnyt,ACRYLIC PVA - RAL9004 SIGNAL,,JF Paints Blouberg - Dulux,,L,20,0,
cmnq0ik1u000p8wpvctwmc8uj,ACRYLIC PVA - URBAN VIEW,,The Paint Place,,L,20,0,
cmmlvt1ry00bhsgpvwlbpgu6c,ACRYLIC PVA - Y4-C2-3 AFTERNOON SHOWER,,Plascon,,L,20,0,
cmp3o6x76026zckpv5jcl3ce0,ACRYLIC PVA 00YR15/510 STALLION,,Dulux,,,,0,
cmp3nzp8o01uxckpvlqdqni6c,ACRYLIC PVA BRILLIANT,,Dulux,,,,0,
cmp3nza4701u1ckpvotqxffr5,ACRYLIC PVA DARK STORM 16BB25/001,,Dulux,,,,0,
cmp3o05ot01vuckpvfzl47s5h,ACRYLIC PVA SLICK SEAL,,Dulux,,,,0,
cmp3nzml001uuckpvdg0695bv,ACRYLIC PVA SLICK SEAL 62GG31/016,,Dulux,,,,0,
cmp3o6sxj026nckpvg30eedgr,ACRYLIC PVA URBAN VIEW,,Dulux,,,,0,
cmp3nn8lr013sckpvlxer80n2,ADHESIVE PVS WELD LATRO,,,,,,0,
cmo1cxeti000a09iex1ta5qpx,ALCHIMICA ADYE - LIGHT,,POLYMERS WATERPROOFING,,L,20,0,
cmo1cxess000909iep0lfoj1a,ALCHIMICA HAA,,POLYMERS WATERPROOFING,,L,20,0,
cmo1cxerx000809ie3gpv79wf,ALCHIMICA UNIVERSAL 2K PRIMER,,POLYMERS WATERPROOFING,,L,20,0,
cmp3n97l100a8ckpvc0j4j1dj,ALKALI PRIMER,,Dulux,,,,0,
cmp3nz6be01tvckpvdlwl9cps,ALKALI RESISTANT PLASTER PRIMER,,,,,,0,
cmnq0i703000c8wpvy3rem6gq,ALKALI RESISTANT PRIMER,,Baumer and Son Rosebank,,L,20,0,
cmp3nijxd00t0ckpvs4iet0kl,ALUBRITE,,DIY Savoy Consumables,,,,0,
cmocjft6w0002b0pvoatjntm5,ASS00000120L Metalcare Silvershine Aluminium,ASS0000012,DIY Savoy Plascon,,L,20,0,
cmp3nj1sw00u9ckpvdshxmigi,ASS0000015L Metalcare Silvershine Aluminium,,DIY Savoy Plascon,,,,0,
cmp3ndqmz00jjckpv3kf8od6y,AW Epiwash Stront/Chrom Primer,,DIY Savoy Plascon,,,,0,
cmp3owdxt0488ckpvjp95sayd,AW000255-5010 Epiwash Primer Dule Kit,,DIY Savoy Plascon,,,,0,
cmmkuetfr0000g8pl3l1n7x3k,Acrylic Glazecoat,CV000082,Plascon,Paints,,,0,
cmmkuevho0001g8plr6g3k88f,Acrylic Scumble Glaze,GSL000002,Plascon,Paints,,,0,
cmp3ngkns00orckpvgeac0zk0,Acrylic Sealant,INV119642,,,,,0,
cmotpb5a5000709l4pcm6yyhv,Acrylic Silicone - PAINTABLE -,,DIY Savoy Consumables,,EACH,1,0,
cmp3nro5g01dqckpvmxw21q8c,Acrylic Silicone PAINTERS MATE,INV115897,,,,,0,
cmmkuevol0002g8pl8e9c8vj3,Aerolak Fluorescent Spray Paint,91 20 01 - 04,Plascon,Paints,,,0,
cmmkuevyo0003g8plrfu7xt8u,Aerolak Metallic Spray Paint,91 10 13 - 20,Plascon,Paints,,,0,
cmmkuew5i0004g8pl33982p6s,Aerolak Regular Spray Paint,"91 10 38 - 99, 99 01 04",Plascon,Paints,,,0,
cmmkuewca0005g8plyc7i7q4r,Aerolak Special Finishes,"91 10 54-56, 91 06 32",Plascon,Paints,,,0,
cmmkuewj20006g8plnvb4fnjl,All Purpose Matt,,Plascon,Paints,,,0,
cmmkuewpu0007g8pl5jagq3t9,All Purpose Matt Tint Base,TDA,Plascon,Paints,,,0,
cmp3nmoo4012hckpv2p1e1qbh,Aluminium Strips,,Plascon,,,,0,
cmmkuex3f0009g8plzrknt0rz,Ancillary Products,SS000012,Plascon,Paints,,,0,
cmmkuexa7000ag8pl0oc51e4m,Aquarista,PHB000800,Plascon,Paints,,,0,
cmmkuexh6000bg8plbx6zeohq,Aquarista Tint Base,THB001000,Plascon,Paints,,,0,
cmmkuexo0000cg8pl1dcgdiag,Aquasolv Degreaser,GR000001,Plascon,Paints,,,0,
cmmkuexus000dg8pl7x30rv9p,Arctic,CAW000001,Plascon,Paints,,,0,
cmotpb5yi000b09l4sp50hhj1,BACKING CORD - 12MMRolls 2,,Urochem Trading (Pty) Ltd,,,,0,
cmmlub2mw003osgpvv7c9hm98,BACKING CORDPacks 2,,Urochem Trading (Pty) Ltd,,,,0,
cmnq0inyi000s8wpvtktj0zte,BACKING CORDRoll 1,,Urochem Trading (Pty) Ltd,,,,0,
cmotn6w32007l09l88get3xjz,BACKING CORDRolls 3,,Urochem Trading (Pty) Ltd,,,,0,
cmnq0ib0e000g8wpv35bx0vtu,BAKING CORD 15MMRoll 1,,Urochem Trading (Pty) Ltd,,,,0,
cmp3nnnam0153ckpvj6fmtu54,BOILER MAKERS CHALK,,DIY Savoy Consumables,,,,0,
