id,name,sku,normalizedName,isActive,procurementProductId,procurementProductSku,historicalOrderCount,historicalQuantity,historicalAmount,bases,colours,finishes,jsonMatchName,jsonSapCodes,jsonHasPrice,classification,reason
cmrt92x53000fqopv2035lbvg,Coastcote Etch Primer - SNK10,,COASTCOTE ETCH PRIMER,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrt92xz7000hqopv4f5gte5e,Dual Plascoguard Gehopon 3000 WB - GW,,DUAL PLASCOGUARD GEHOPON 3000 WB,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrt92ydr000iqopvzy08cles,Dual Plascoguard Gehopon Sealer - GW,,DUAL PLASCOGUARD GEHOPON SEALER,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrutfbge0019x0pvzhpj7nbe,Easy Living Roof & Paving - ELR6,,EASY LIVING ROOF AND PAVING,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrusrxhr001c00pvie551dlt,Epiwash Strontium Chromate Primer - AW255,,EPIWASH STRONTIUM CHROMATE PRIMER,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrutf92g0013x0pvt7675wep,Glazecoat - REF1124,,GLAZECOAT,true,,,0,0,0.00,Clear,,Clear Gloss,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrusrwb6001900pv9gxsuiiu,Hardener for Plascothane 9000 - PRH9,,HARDENER FOR PLASCOTHANE 9000,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrusrx3j001b00pv4xgjxixf,Hardener for Plascotuff 3500 - PEH3,,HARDENER FOR PLASCOTUFF 3500,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrusrv4p001600pv69f66dft,Metalcare Galvanised Iron Cleaner - GIC1,,METALCARE GALVANISED IRON CLEANER,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrusrviu001700pv1ujsgr45,Metalcare Silvershine Aluminium - ASS1,,METALCARE SILVERSHINE ALUMINIUM,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrusruqk001500pvbuqhobfn,Nuroof Cool Acrylic Roof Paint - TRP,,NUROOF COOL ACRYLIC ROOF PAINT,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
