orderId,orderReference,itemId,rawName,currentProductId,currentProductName,currentPrice,mode,reason
cmmlvnumy0083sgpvgzahzrjr,66637,cmmlvnutz0087sgpvd4i590hg,Plascon Skim Coats-Exterior Off-White,cmmltsd7j0008sgpvdkbv19cs,Plascon Skim Coats-Interior Off-White,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmmlvqdhx00aesgpv2qw3hh3l,66657,cmmlvqdoy00agsgpvcuy38i5g,ROOFGUARD - BLACK,cmmltjjm50006scpvit3iouq1,ROOFGUARD - BASIC BLACK,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmmlvqmfz00aqsgpvqm4oh0py,66660,cmmlvqmof00atsgpvzxqb77os,DURA100 - WHITE,cmmlu8u53002bsgpvtabe4yqm,DURA100 - CABLE GREY 03BB17/015,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmmlw4wbb00h7sgpv941u8ps6,66733,cmmlw4wm700h8sgpv463rvkmo,ELR002 - ROOF PAINT BLACK,cmmkiuanp006xckpv6j2fbb4m,Dulux Trade Acrylic Roof Paint Red 20L,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmmlw531f00h9sgpvmxheczym,66734,cmmlw539500hbsgpvztqd5fvf,DURA100 - WHITE,cmmlu8u53002bsgpvtabe4yqm,DURA100 - CABLE GREY 03BB17/015,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmmlw1or800frsgpv1szebkiy,66737,cmmlw1oyt00ftsgpvkuv3o3nm,DULUX TRADE65 - QUITE HIDEAWAY 81YY81/016,cmmlw14at00fhsgpv12rjeqnl,DULUX TRADE65 - QUITE HIDEAWAY 81YY81/016,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmmlw75je00hnsgpvl9h8v9o4,66765,cmmlw75qr00hosgpv9jzvdmml,DULUX LUXURIOUS SILK - FANCOURT 280-F5-01,cmmluauuu003isgpvdlp5hvko,DULUX LUXURIOUS SILK - FANCOURT 280-F5-01,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmmlw75je00hnsgpvl9h8v9o4,66765,cmmlw75qr00hqsgpvjx28dcin,DULUX LUXURIOUS SILK - SMOKEY GLASS 50YR22/052,cmmlw6rj300hfsgpvlzi42193,DULUX LUXURIOUS SILK - SMOKEY GLASS 50YR22/052,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmmlttktn001gsgpvzyc0ccu5,66797,cmmlttldr001hsgpvrb5xdv3q,ROOFGUARD - BASIC BLACK,cmmltjjm50006scpvit3iouq1,ROOFGUARD - BASIC BLACK,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
cmmlu96br002jsgpv8rxue5ig,66820,cmmlu96ip002nsgpvykgx78v0,DURA100 - WHITE,cmmkiu7v7006jckpv756ogb5i,Dulux Trade Luxurious Silk White 20L,0.00,SHOP_ITEM,No safe relink; No safe existing shop item match found; No supplier/global price found for repair
